,movie,year,imdb,metascore,votes
0,Mad Max: Fury Road,2015,8.1,90,1.1M
1,Star Wars: Episode VII - The Force Awakens,2015,7.8,80,971K
2,The Martian,2015,8.0,80,919K
3,Avengers: Age of Ultron,2015,7.3,66,918K
4,The Revenant,2015,8.0,76,870K
5,Inside Out,2015,8.1,94,781K
6,Ant-Man,2015,7.2,64,719K
7,Jurassic World,2015,6.9,59,677K
8,The Hateful Eight,2015,7.8,68,656K
9, Spotlight,2015,8.1,93,500K
10, The Big Short,2015,7.8,81,481K
11, Sicario,2015,7.7,82,473K
12, Spectre,2015,6.8,60,465K
13, Room,2015,8.1,86,448K
14, Fast & Furious 7,2015,7.1,67,414K
15, Mission: Impossible - Rogue Nation,2015,7.4,75,409K
16, The Hunger Games: Mockingjay - Part 2,2015,6.5,65,371K
17, Fifty Shades of Grey,2015,4.2,46,335K
18, The Man from U.N.C.L.E.,2015,7.2,56,331K
19, Bridge of Spies,2015,7.6,81,327K
20, Creed,2015,7.6,82,310K
21, The VVitch: A New-England Folktale,2015,7.0,84,299K
22, The Lobster,2015,7.1,82,293K
23, Terminator Genisys,2015,6.3,38,292K
24, Maze Runner: The Scorch Trials,2015,6.3,43,274K
25, Focus,2015,6.6,56,274K
26, The Intern,2015,7.1,51,273K
27, Chappie,2015,6.8,41,269K
28, Minions,2015,6.4,56,258K
29, Spy,2015,7.0,75,258K
30, Southpaw,2015,7.3,57,257K
31, San Andreas,2015,6.1,43,256K
32, Insurgent,2015,6.2,42,254K
33, Ted 2,2015,6.3,48,233K
34, Everest,2015,7.1,64,232K
35, Straight Outta Compton,2015,7.8,72,218K
36, The Age of Adaline,2015,7.2,51,202K
37, Legend,2015,6.9,55,201K
38, The Danish Girl,2015,7.1,66,199K
39, Jupiter Ascending,2015,5.3,40,194K
40, Black Mass,2015,6.9,68,192K
41, Tomorrowland,2015,6.4,60,191K
42, Cinderella,2015,6.9,67,190K
43, Steve Jobs,2015,7.2,82,178K
44,Deadpool,2016,8.0,65,1.1M
45,Captain America: Civil War,2016,7.8,75,846K
46,Doctor Strange,2016,7.5,72,801K
47,Arrival,2016,7.9,81,765K
48,Batman v Superman: Dawn of Justice,2016,6.5,44,751K
49,Suicide Squad,2016,5.9,40,720K
50,Rogue One,2016,7.8,65,684K
51,La La Land,2016,8.0,94,665K
52, Hacksaw Ridge,2016,8.1,71,590K
53, Split,2016,7.3,63,547K
54, Zootopia,2016,8.0,78,543K
55, Fantastic Beasts and Where to Find Them,2016,7.2,66,506K
56, X-Men: Apocalypse,2016,6.9,52,459K
57, Passengers,2016,7.0,41,445K
58, Moana,2016,7.6,81,375K
59, The Nice Guys,2016,7.4,70,370K
60, 10 Cloverfield Lane,2016,7.2,76,353K
61, Moonlight,2016,7.4,99,330K
62, Now You See Me 2,2016,6.4,46,319K
63, The Accountant,2016,7.3,51,318K
64, Your Name.,2016,8.4,81,317K
65, Manchester by the Sea,2016,7.8,96,312K
66, Nocturnal Animals,2016,7.5,67,303K
67, Finding Dory,2016,7.2,77,302K
68, Don't Breathe,2016,7.1,71,299K
69, The Conjuring 2,2016,7.3,65,299K
70, Sully,2016,7.4,74,297K
